date,season,game_pk,pitcher_id,pitcher_name,team,opponent,home_away,line,bet_side,odds,model_prob,implied_prob,edge,predicted_mean,simulated_mean,simulated_median,simulated_std,recommended_units,kelly_units,actual_strikeouts,bet_result,profit_units,settled
2026-03-26,2026,824704,571510,Matthew Boyd,CHC,WSH,0,4.5,under,132.0,0.59,0.431,0.159,4.258,4.22,4,2.309,2.0,0.7,7.0,loss,-1.0,True
2026-03-26,2026,823325,669373,Tarik Skubal,DET,SD,1,7.5,under,-172.0,0.767,0.6324,0.1346,5.68,5.62,5,2.749,1.5,0.92,6.0,win,0.5814,True
2026-03-26,2026,824218,686613,Hunter Brown,HOU,LAA,0,6.5,under,114.0,0.587,0.4673,0.1197,6.417,6.185,6,2.781,1.5,0.56,9.0,loss,-1.0,True
2026-03-26,2026,824218,667755,José Soriano,LAA,HOU,1,4.5,over,108.0,0.56,0.4808,0.0792,5.163,5.192,5,2.58,1.0,0.38,7.0,win,1.08,True
2026-03-26,2026,823812,681343,Shane Smith,CWS,MIL,1,4.5,over,-114.0,0.607,0.5327,0.0743,5.338,5.458,5,2.66,0.5,0.4,2.0,loss,-1.0,True
2026-03-26,2026,823812,694819,Jacob Misiorowski,MIL,CWS,0,5.5,under,124.0,0.52,0.4464,0.0736,5.5,5.608,5,2.699,0.5,0.33,11.0,loss,-1.0,True
2026-03-26,2026,823325,601713,Nick Pivetta,SD,DET,0,5.5,under,110.0,0.54,0.4762,0.0638,5.548,5.592,5,2.715,0.5,0.3,4.0,win,1.1,True
2026-03-26,2026,824541,671096,Andrew Abbott,CIN,BOS,0,4.5,under,120.0,0.509,0.4545,0.0545,4.814,4.808,4,2.517,0.5,0.25,4.0,win,1.2,True
2026-03-27,2026,823243,693645,Cam Schlittler,NYY,SF,1,4.5,over,-128.0,0.659,0.5614,0.0976,5.818,5.787,5,2.722,1.0,0.56,8.0,win,0.7812,True
2026-03-27,2026,823243,592662,Robbie Ray,SF,NYY,0,5.5,under,116.0,0.532,0.463,0.069,5.578,5.57,5,2.681,0.5,0.32,4.0,win,1.16,True
2026-03-27,2026,823893,607536,Kyle Freeland,COL,MIA,1,3.5,over,-158.0,0.677,0.6124,0.0646,4.869,4.867,5,2.513,0.5,0.42,2.0,loss,-1.0,True
2026-03-28,2026,823892,691587,Eury Pérez,MIA,COL,0,6.5,under,-154.0,0.713,0.6063,0.1067,5.311,5.201,5,2.539,1.5,0.68,8.0,loss,-1.0,True
2026-03-28,2026,822838,605488,Jeffrey Springs,OAK,TOR,1,3.5,over,102.0,0.599,0.495,0.104,4.389,4.303,4,2.338,1.5,0.51,2.0,loss,-1.0,True
2026-03-28,2026,823241,701542,Will Warren,NYY,SF,1,4.5,over,110.0,0.573,0.4762,0.0968,5.339,5.318,5,2.622,1.0,0.46,3.0,loss,-1.0,True
2026-03-28,2026,824945,608379,Michael Wacha,KC,ATL,1,4.5,over,140.0,0.476,0.4167,0.0593,4.645,4.577,4,2.39,0.5,0.25,7.0,win,1.4,True
2026-03-30,2026,824135,680573,Simeon Woods Richardson,MIN,KC,1,3.5,over,-112.0,0.783,0.5283,0.2547,5.562,5.607,5,2.66,2.0,1.35,2.0,loss,-1.0,True
2026-03-30,2026,824702,665795,Edward Cabrera,CHC,LAA,0,6.5,under,116.0,0.689,0.463,0.226,5.286,5.395,5,2.656,2.0,1.05,5.0,win,1.16,True
2026-03-30,2026,824863,683004,Jack Leiter,TEX,BAL,1,4.5,over,-144.0,0.679,0.5902,0.0888,6.017,6.048,6,2.909,1.0,0.54,8.0,win,0.6944,True
2026-03-30,2026,824943,682052,Jacob Lopez,OAK,ATL,1,5.5,over,100.0,0.586,0.5,0.086,6.418,6.513,6,2.949,1.0,0.43,0.0,loss,-1.0,True
2026-03-30,2026,823809,607259,Nick Martinez,TB,MIL,1,3.5,over,-174.0,0.689,0.635,0.054,4.97,4.921,5,2.434,0.5,0.37,3.0,loss,-1.0,True
2026-03-30,2026,823809,690986,Kyle Harrison,MIL,TB,0,4.5,under,114.0,0.521,0.4673,0.0537,4.628,4.668,4,2.444,0.5,0.25,8.0,loss,-1.0,True
2026-03-30,2026,823890,663436,Davis Martin,CWS,MIA,1,3.5,over,-114.0,0.584,0.5327,0.0513,4.252,4.261,4,2.281,0.5,0.27,6.0,win,0.8772,True
2026-03-31,2026,824699,667755,José Soriano,LAA,CHC,1,4.5,over,-110.0,0.676,0.5238,0.1522,5.918,5.933,6,2.717,2.0,0.8,4.0,loss,-1.0,True
2026-03-31,2026,822836,663372,Ryan Feltner,COL,TOR,1,3.5,over,-108.0,0.655,0.5192,0.1358,4.719,4.67,4,2.404,1.5,0.71,4.0,win,0.9259,True
2026-03-31,2026,824699,592791,Jameson Taillon,CHC,LAA,0,4.5,under,116.0,0.569,0.463,0.106,4.313,4.374,4,2.294,1.5,0.49,3.0,win,1.16,True
2026-03-31,2026,823888,607200,Erick Fedde,CWS,MIA,1,3.5,over,134.0,0.527,0.4274,0.0996,3.852,3.875,4,2.178,1.0,0.44,4.0,win,1.34,True
2026-03-31,2026,822836,453286,Max Scherzer,TOR,COL,0,5.5,under,-130.0,0.652,0.5652,0.0868,4.757,4.801,5,2.464,1.0,0.5,4.0,win,0.7692,True
2026-03-31,2026,823077,669467,Andre Pallante,STL,NYM,0,3.5,over,126.0,0.523,0.4425,0.0805,3.876,3.859,4,2.12,1.0,0.36,3.0,loss,-1.0,True
2026-03-31,2026,824942,650644,Aaron Civale,OAK,ATL,1,3.5,over,-146.0,0.666,0.5935,0.0725,4.714,4.759,5,2.412,0.5,0.45,3.0,loss,-1.0,True
2026-04-01,2026,825106,668678,Zac Gallen,AZ,DET,0,5.5,under,112.0,0.707,0.4717,0.2353,4.34,4.368,4,2.31,2.0,1.11,2.0,win,1.12,True
2026-04-01,2026,823806,656876,Drew Rasmussen,TB,MIL,1,4.5,under,-118.0,0.732,0.5413,0.1907,3.414,3.431,3,1.999,2.0,1.04,8.0,loss,-1.0,True
2026-04-01,2026,823321,605288,Adrian Houser,SF,SD,1,3.5,over,-125.0,0.724,0.5556,0.1684,5.063,5.109,5,2.49,2.0,0.95,4.0,win,0.8,True
2026-04-01,2026,825106,669373,Tarik Skubal,DET,AZ,1,6.5,under,108.0,0.644,0.4808,0.1632,5.865,5.8,5,2.744,2.0,0.79,3.0,win,1.08,True
2026-04-01,2026,823483,676917,Cade Cavalli,WSH,PHI,1,4.5,over,-102.0,0.668,0.505,0.163,5.697,5.844,6,2.729,2.0,0.82,3.0,loss,-1.0,True
2026-04-01,2026,824536,671096,Andrew Abbott,CIN,PIT,0,5.5,under,-112.0,0.677,0.5283,0.1487,4.469,4.512,4,2.4,1.5,0.79,5.0,win,0.8929,True
2026-04-01,2026,823157,693645,Cam Schlittler,NYY,SEA,1,5.5,over,-144.0,0.735,0.5902,0.1448,7.561,7.597,7,3.068,1.5,0.88,7.0,win,0.6944,True
2026-04-01,2026,824536,694973,Paul Skenes,PIT,CIN,1,7.5,under,-132.0,0.696,0.569,0.127,6.191,6.15,6,2.908,1.5,0.74,5.0,win,0.7576,True
2026-04-01,2026,823806,694819,Jacob Misiorowski,MIL,TB,0,6.5,over,100.0,0.624,0.5,0.124,7.784,7.775,7,3.009,1.5,0.62,7.0,win,1.0,True
2026-04-01,2026,824860,543135,Nathan Eovaldi,TEX,BAL,1,5.5,over,-168.0,0.743,0.6269,0.1161,7.699,7.762,8,3.155,1.5,0.78,5.0,loss,-1.0,True
2026-04-01,2026,823321,601713,Nick Pivetta,SD,SF,0,5.5,under,128.0,0.55,0.4386,0.1114,5.551,5.422,5,2.651,1.5,0.5,8.0,loss,-1.0,True
2026-04-01,2026,824211,681347,Mike Burrows,HOU,BOS,0,5.5,under,-114.0,0.636,0.5327,0.1033,4.943,4.84,5,2.451,1.5,0.55,6.0,loss,-1.0,True
2026-04-01,2026,823157,669923,George Kirby,SEA,NYY,0,7.5,under,-178.0,0.726,0.6403,0.0857,5.8,5.874,6,2.793,1.0,0.6,6.0,win,0.5618,True
2026-04-01,2026,823889,681343,Shane Smith,CWS,MIA,1,4.5,over,100.0,0.576,0.5,0.076,5.393,5.26,5,2.558,1.0,0.38,1.0,loss,-1.0,True
2026-04-01,2026,822835,607536,Kyle Freeland,COL,TOR,1,3.5,over,100.0,0.57,0.5,0.07,4.038,4.093,4,2.211,0.5,0.35,6.0,win,1.0,True
2026-04-01,2026,823078,669461,Matthew Liberatore,STL,NYM,0,3.5,under,118.0,0.525,0.4587,0.0663,3.583,3.564,3,2.051,0.5,0.31,2.0,win,1.18,True
2026-04-01,2026,822835,592332,Kevin Gausman,TOR,COL,0,7.5,over,116.0,0.529,0.463,0.066,7.914,8.014,8,3.267,0.5,0.31,10.0,win,1.16,True
2026-04-01,2026,824698,579328,Yusei Kikuchi,LAA,CHC,1,4.5,under,102.0,0.556,0.495,0.061,4.364,4.441,4,2.345,0.5,0.3,5.0,loss,-1.0,True
2026-04-01,2026,823078,642547,Freddy Peralta,NYM,STL,1,6.5,over,116.0,0.515,0.463,0.052,6.789,6.93,7,2.989,0.5,0.24,7.0,win,1.16,True
