date,bookmaker,player_name,line,side,odds
2026-06-04,FanDuel,Adrian Houser,3.5,over,-122
2026-06-04,FanDuel,Adrian Houser,3.5,under,-108
2026-06-04,FanDuel,Brayan Bello,3.5,over,-148
2026-06-04,FanDuel,Brayan Bello,3.5,under,120
2026-06-04,FanDuel,Carlos Rodon,5.5,over,118
2026-06-04,FanDuel,Carlos Rodon,5.5,under,-144
2026-06-04,FanDuel,Chris Sale,7.5,over,112
2026-06-04,FanDuel,Chris Sale,7.5,under,-138
2026-06-04,FanDuel,Coleman Crow,3.5,over,-152
2026-06-04,FanDuel,Coleman Crow,3.5,under,124
2026-06-04,FanDuel,JT Ginn,4.5,over,124
2026-06-04,FanDuel,JT Ginn,4.5,under,-166
2026-06-04,FanDuel,Jared Jones,5.5,over,-104
2026-06-04,FanDuel,Jared Jones,5.5,under,-128
2026-06-04,FanDuel,Justin Wrobleski,3.5,over,-130
2026-06-04,FanDuel,Justin Wrobleski,3.5,under,-102
2026-06-04,FanDuel,Lucas Giolito,3.5,over,-136
2026-06-04,FanDuel,Lucas Giolito,3.5,under,102
2026-06-04,FanDuel,Ryne Nelson,4.5,over,130
2026-06-04,FanDuel,Ryne Nelson,4.5,under,-160
2026-06-04,FanDuel,Seth Lugo,4.5,over,-140
2026-06-04,FanDuel,Seth Lugo,4.5,under,106
2026-06-04,FanDuel,Shota Imanaga,6.5,over,108
2026-06-04,FanDuel,Shota Imanaga,6.5,under,-132
2026-06-04,FanDuel,Slade Cecconi,4.5,over,118
2026-06-04,FanDuel,Slade Cecconi,4.5,under,-158
2026-06-04,FanDuel,Trevor Rogers,4.5,over,110
2026-06-04,FanDuel,Trevor Rogers,4.5,under,-146
2026-06-04,FanDuel,Zack Wheeler,6.5,over,-114
2026-06-04,FanDuel,Zack Wheeler,6.5,under,-106
